Filename                                    Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
Chap47/AdvancedQuadraticProbing.rs              286                11    96.15%          19                 0   100.00%         215                12    94.42%           0                 0         -
Chap47/ClusteringAnalysis.rs                    454               163    64.10%          18                 3    83.33%         293                66    77.47%           0                 0         -
Chap47/DoubleHashing.rs                          62                62     0.00%           5                 5     0.00%          38                38     0.00%           0                 0         -
Chap47/FlatHashTable.rs                         389                76    80.46%          11                 1    90.91%         204                40    80.39%           0                 0         -
Chap47/HashExamples.rs                          247               247     0.00%          14                14     0.00%         259               259     0.00%           0                 0         -
Chap47/HashFunctionTraits.rs                    252               208    17.46%          34                26    23.53%         177               136    23.16%           0                 0         -
Chap47/LinearProbing.rs                          39                39     0.00%           5                 5     0.00%          26                26     0.00%           0                 0         -
Chap47/NestedHashTable.rs                       423               423     0.00%          15                15     0.00%         220               220     0.00%           0                 0         -
Chap47/ProbeSequenceExamples.rs                 486                71    85.39%          16                 2    87.50%         284                27    90.49%           0                 0         -
Chap47/QuadraticProbing.rs                       48                48     0.00%           6                 6     0.00%          34                34     0.00%           0                 0         -
Chap47/SeparateChaining.rs                      442               442     0.00%           9                 9     0.00%         193               193     0.00%           0                 0         -
Chap49/MinEditDistMtEph.rs                      162                64    60.49%          17                11    35.29%          93                40    56.99%           0                 0         -
Chap49/MinEditDistMtPer.rs                      134                45    66.42%          12                 7    41.67%          77                29    62.34%           0                 0         -
Chap49/MinEditDistStEph.rs                      154                62    59.74%          20                11    45.00%          88                45    48.86%           0                 0         -
Chap49/MinEditDistStPer.rs                      121                27    77.69%          13                 4    69.23%          70                22    68.57%           0                 0         -
Chap49/SubsetSumMtEph.rs                        134                44    67.16%          14                 8    42.86%          83                32    61.45%           0                 0         -
Chap49/SubsetSumMtPer.rs                        117                34    70.94%          11                 6    45.45%          73                26    64.38%           0                 0         -
Chap49/SubsetSumStEph.rs                        104                38    63.46%          14                 8    42.86%          61                24    60.66%           0                 0         -
Chap49/SubsetSumStPer.rs                         88                13    85.23%          10                 3    70.00%          55                12    78.18%           0                 0         -
Chap50/MatrixChainMtEph.rs                      262               262     0.00%          24                24     0.00%         157               157     0.00%           0                 0         -
Chap50/MatrixChainMtPer.rs                      195               195     0.00%          20                20     0.00%         112               112     0.00%           0                 0         -
Chap50/MatrixChainStEph.rs                      148               117    20.95%          21                13    38.10%          91                65    28.57%           0                 0         -
Chap50/MatrixChainStPer.rs                      122                28    77.05%          16                 5    68.75%          76                14    81.58%           0                 0         -
Chap50/OptBinSearchTreeMtEph.rs                 269               269     0.00%          26                26     0.00%         161               161     0.00%           0                 0         -
Chap50/OptBinSearchTreeMtPer.rs                 204               204     0.00%          22                22     0.00%         115               115     0.00%           0                 0         -
Chap50/OptBinSearchTreeStEph.rs                 150                63    58.00%          22                12    45.45%          88                32    63.64%           0                 0         -
Chap50/OptBinSearchTreeStPer.rs                 126                34    73.02%          17                 6    64.71%          74                21    71.62%           0                 0         -
Chap50/Probability.rs                            73                32    56.16%          17                 8    52.94%          32                11    65.62%           0                 0         -
Chap51/BottomUpDPMtEph.rs                       181                 8    95.58%          16                 2    87.50%          90                 2    97.78%           0                 0         -
Chap51/BottomUpDPMtPer.rs                       171                 0   100.00%          14                 0   100.00%          88                 0   100.00%           0                 0         -
Chap51/BottomUpDPStEph.rs                       126                 0   100.00%          12                 0   100.00%          60                 0   100.00%           0                 0         -
Chap51/BottomUpDPStPer.rs                       120                 0   100.00%          10                 0   100.00%          59                 0   100.00%           0                 0         -
Chap51/TopDownDPMtEph.rs                        261                24    90.80%          21                 3    85.71%         121                13    89.26%           0                 0         -
Chap51/TopDownDPMtPer.rs                        243                10    95.88%          19                 1    94.74%         119                 8    93.28%           0                 0         -
Chap51/TopDownDPStEph.rs                        134                18    86.57%          15                 3    80.00%          60                 9    85.00%           0                 0         -
Chap51/TopDownDPStPer.rs                        128                 0   100.00%          13                 0   100.00%          65                 0   100.00%           0                 0         -
Chap52/AdjMatrixGraphStEph.rs                   132               132     0.00%           9                 9     0.00%          81                81     0.00%           0                 0         -
Chap52/AdjMatrixGraphStPer.rs                   157               157     0.00%           9                 9     0.00%          98                98     0.00%           0                 0         -
Chap52/AdjSeqGraphStEph.rs                      127               127     0.00%           9                 9     0.00%          66                66     0.00%           0                 0         -
Chap52/AdjSeqGraphStPer.rs                      155               155     0.00%           9                 9     0.00%          82                82     0.00%           0                 0         -
Chap52/AdjTableGraphMtPer.rs                    132                 9    93.18%          15                 2    86.67%          63                 4    93.65%           0                 0         -
Chap52/AdjTableGraphStEph.rs                    176                10    94.32%          18                 3    83.33%          79                 5    93.67%           0                 0         -
Chap52/AdjTableGraphStPer.rs                    166               166     0.00%          12                12     0.00%          74                74     0.00%           0                 0         -
Chap52/EdgeSetGraphMtPer.rs                     113                13    88.50%          16                 4    75.00%          62                 6    90.32%           0                 0         -
Chap52/EdgeSetGraphStEph.rs                     118                11    90.68%          14                 3    78.57%          51                 5    90.20%           0                 0         -
Chap52/EdgeSetGraphStPer.rs                     108                 9    91.67%          15                 3    80.00%          61                 5    91.80%           0                 0         -
Chap53/GraphSearchMtPer.rs                       78                78     0.00%           6                 6     0.00%          54                54     0.00%           0                 0         -
Chap53/GraphSearchStEph.rs                       78                78     0.00%           6                 6     0.00%          53                53     0.00%           0                 0         -
