Filename                                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
Chap52/AdjMatrixGraphMtPer.rs                     112               112     0.00%           7                 7     0.00%          72                72     0.00%           0                 0         -
Chap52/AdjMatrixGraphStEph.rs                     132                10    92.42%           9                 1    88.89%          81                 8    90.12%           0                 0         -
Chap52/AdjMatrixGraphStPer.rs                     157                11    92.99%           9                 1    88.89%          98                 8    91.84%           0                 0         -
Chap52/AdjSeqGraphMtPer.rs                         88                88     0.00%           7                 7     0.00%          49                49     0.00%           0                 0         -
Chap52/AdjSeqGraphStEph.rs                        127                18    85.83%           9                 2    77.78%          66                12    81.82%           0                 0         -
Chap52/AdjSeqGraphStPer.rs                        155                12    92.26%           9                 1    88.89%          82                 6    92.68%           0                 0         -
Chap52/AdjTableGraphMtPer.rs                      132                 9    93.18%          15                 2    86.67%          63                 4    93.65%           0                 0         -
Chap52/AdjTableGraphStEph.rs                      176                10    94.32%          18                 3    83.33%          79                 5    93.67%           0                 0         -
Chap52/AdjTableGraphStPer.rs                      166                 4    97.59%          12                 0   100.00%          74                 1    98.65%           0                 0         -
Chap52/EdgeSetGraphMtPer.rs                       113                13    88.50%          16                 4    75.00%          62                 6    90.32%           0                 0         -
Chap52/EdgeSetGraphStEph.rs                       118                11    90.68%          14                 3    78.57%          51                 5    90.20%           0                 0         -
Chap52/EdgeSetGraphStPer.rs                       108                 9    91.67%          15                 3    80.00%          61                 5    91.80%           0                 0         -
Chap53/GraphSearchMtPer.rs                         78                 1    98.72%           6                 0   100.00%          54                 1    98.15%           0                 0         -
Chap53/GraphSearchStEph.rs                         78                 1    98.72%           6                 0   100.00%          53                 1    98.11%           0                 0         -
Chap53/GraphSearchStPer.rs                         78                 1    98.72%           6                 0   100.00%          53                 1    98.11%           0                 0         -
Chap53/PQMinMtEph.rs                              116                 0   100.00%           5                 0   100.00%          62                 0   100.00%           0                 0         -
Chap53/PQMinMtPer.rs                              138                 0   100.00%           6                 0   100.00%          79                 0   100.00%           0                 0         -
Chap53/PQMinStEph.rs                              138                 0   100.00%           6                 0   100.00%          77                 0   100.00%           0                 0         -
Chap53/PQMinStPer.rs                              141                 0   100.00%           6                 0   100.00%          78                 0   100.00%           0                 0         -
Chap54/BFSMtEph.rs                                 54                 1    98.15%           1                 0   100.00%          27                 1    96.30%           0                 0         -
Chap54/BFSMtPer.rs                                 56                 1    98.21%           1                 0   100.00%          27                 1    96.30%           0                 0         -
Chap54/BFSStEph.rs                                 45                 1    97.78%           1                 0   100.00%          22                 1    95.45%           0                 0         -
Chap54/BFSStPer.rs                                 49                 1    97.96%           1                 0   100.00%          22                 1    95.45%           0                 0         -
Chap55/CycleDetectStEph.rs                         63                 0   100.00%           2                 0   100.00%          36                 0   100.00%           0                 0         -
Chap55/CycleDetectStPer.rs                         69                 0   100.00%           2                 0   100.00%          38                 0   100.00%           0                 0         -
Chap55/DFSStEph.rs                                 44                 0   100.00%           2                 0   100.00%          27                 0   100.00%           0                 0         -
Chap55/DFSStPer.rs                                 40                 0   100.00%           2                 0   100.00%          24                 0   100.00%           0                 0         -
Chap55/SCCStEph.rs                                151                 1    99.34%           6                 0   100.00%          78                 1    98.72%           0                 0         -
Chap55/SCCStPer.rs                                166                 1    99.40%           6                 0   100.00%          83                 0   100.00%           0                 0         -
Chap55/TopoSortStEph.rs                           108                46    57.41%           4                 2    50.00%          64                27    57.81%           0                 0         -
Chap55/TopoSortStPer.rs                           150                61    59.33%           4                 2    50.00%          81                33    59.26%           0                 0         -
Chap56/AllPairsResultStEphFloat.rs                116                 8    93.10%           7                 0   100.00%          64                 4    93.75%           0                 0         -
