UNTESTED FUNCTIONS: 2907 functions, 82683 uncovered regions
======================================================================

All Untested Functions (sorted by impact):

Rank   Regions  Insts  Module                                             Function                      
350    6        2      Chap43::OrderedTableMtPer                          domain                        
351    6        2      Chap43::OrderedTableMtPer                          clone                         
352    6        2      Chap43::OrderedTableMtPer                          default                       
353    6        2      Chap43::OrderedTableStEph                          empty                         
354    6        2      Chap43::OrderedTableStEph                          is_empty                      
355    6        2      Chap43::OrderedTableStPer                          empty                         
356    6        2      Chap45::BinaryHeapPQ                               default                       
357    6        2      Chap45::SortedListPQ                               singleton                     
358    6        2      Chap45::SortedListPQ                               default                       
359    6        2      Chap45::LeftistHeapPQ                              default                       
360    6        2      Chap45::BalancedTreePQ                             singleton                     
361    6        2      Chap45::BalancedTreePQ                             default                       
362    6        2      Chap45::UnsortedListPQ                             from_seq                      
363    6        2      Chap45::UnsortedListPQ                             singleton                     
364    6        2      Chap45::UnsortedListPQ                             default                       
365    6        2      Chap49::SubsetSumMtEph                             eq                            
366    6        2      Chap49::SubsetSumMtEph                             multiset_mut                  
367    6        2      Chap49::SubsetSumMtEph                             multiset                      
368    6        2      Chap49::SubsetSumMtPer                             eq                            
369    6        2      Chap49::SubsetSumMtPer                             multiset                      
370    6        2      Chap49::SubsetSumStEph                             multiset_mut                  
371    6        2      Chap49::SubsetSumStEph                             from_multiset                 
372    6        2      Chap49::SubsetSumStEph                             multiset                      
373    6        2      Chap49::SubsetSumStPer                             from_multiset                 
374    6        2      Chap49::SubsetSumStPer                             multiset                      
375    6        2      Chap49::MinEditDistMtEph                           source_mut                    
376    6        2      Chap49::MinEditDistMtEph                           target_mut                    
377    6        2      Chap49::MinEditDistMtEph                           source                        
378    6        2      Chap49::MinEditDistMtEph                           target                        
379    6        2      Chap49::MinEditDistMtPer                           source                        
380    6        2      Chap49::MinEditDistMtPer                           target                        
381    6        2      Chap49::MinEditDistStEph                           source_mut                    
382    6        2      Chap49::MinEditDistStEph                           target_mut                    
383    6        2      Chap49::MinEditDistStEph                           source                        
384    6        2      Chap49::MinEditDistStEph                           target                        
385    6        2      Chap49::MinEditDistStPer                           source                        
386    6        2      Chap49::MinEditDistStPer                           target                        
387    6        2      Chap50::OptBinSearchTreeMtPer                      keys                          
388    6        2      Chap50::OptBinSearchTreeMtPer                      num_keys                      
389    6        2      Chap50::OptBinSearchTreeStEph                      from_key_probs                
390    6        2      Chap50::OptBinSearchTreeStEph                      new                           
391    6        2      Chap50::OptBinSearchTreeStEph                      keys                          
392    6        2      Chap50::OptBinSearchTreeStEph                      keys_mut                      
393    6        2      Chap50::OptBinSearchTreeStPer                      from_key_probs                
394    6        2      Chap50::OptBinSearchTreeStPer                      new                           
395    6        2      Chap50::OptBinSearchTreeStPer                      keys                          
396    6        2      Chap52::EdgeSetGraphMtPer                          from_vertices_and_edges       
397    6        2      Chap52::EdgeSetGraphMtPer                          edges                         
398    6        2      Chap52::EdgeSetGraphMtPer                          empty                         
399    6        2      Chap52::EdgeSetGraphMtPer                          vertices                      
400    6        2      Chap52::EdgeSetGraphMtPer                          default                       
401    6        2      Chap52::EdgeSetGraphStEph                          from_vertices_and_edges       
402    6        2      Chap52::EdgeSetGraphStEph                          edges                         
403    6        2      Chap52::EdgeSetGraphStEph                          empty                         
404    6        2      Chap52::EdgeSetGraphStEph                          vertices                      
405    6        2      Chap52::EdgeSetGraphStPer                          from_vertices_and_edges       
406    6        2      Chap52::EdgeSetGraphStPer                          edges                         
407    6        2      Chap52::EdgeSetGraphStPer                          empty                         
408    6        2      Chap52::EdgeSetGraphStPer                          vertices                      
409    6        2      Chap52::AdjTableGraphMtPer                         empty                         
410    6        2      Chap52::AdjTableGraphMtPer                         default                       
411    6        2      Chap52::AdjTableGraphStEph                         from_table                    
412    6        2      Chap52::AdjTableGraphStEph                         empty                         
413    6        2      Chap52::AdjTableGraphStPer                         from_table                    
414    6        2      Chap52::AdjTableGraphStPer                         empty                         
415    6        2      Chap53::PQMinMtEph                                 priority                      
416    6        2      Chap53::PQMinMtPer                                 priority                      
417    6        2      Chap53::PQMinStEph                                 priority                      
418    6        2      Chap53::PQMinStPer                                 priority                      
419    6        2      Chap57::StackStEph                                 default                       
420    6        2      Chap65::UnionFindStEph                             default                       
421    6        2      Chap47clean::ParaHashTableStEph                    metrics                       
422    6        2      Chap43::OrderedSetStPer                            clone                         
423    6        2      Chap12::Exercise12_1                               default                       
424    6        2      Chap18::ArraySeqMtPer                              from_vec                      
